LLM Adversarial Attack Detection for TEXT,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Dataset Name,Link,Size,Description
WildJailbreak,https://huggingface.co/datasets/allenai/wildjailbreak,≈262K prompt-response pairs,Large jailbreak/safety corpus with adversarial and contrastive benign examples; useful for broad text attack detection and hard-benign training research.
WildGuardMix,https://huggingface.co/datasets/allenai/wildguardmix,"86,759 train + 1,725 test","Prompt/response safety dataset mixing synthetic, in-the-wild and annotator-written data, with harmfulness and refusal labels for input/output inspection."
Tensor Trust,https://github.com/HumanCompatibleAI/tensor-trust,Large human game corpus; exact current count not verified,Human-generated prompt-injection attacks collected through an online game; high-value pristine benchmark for human adversarial creativity.
BIPIA,https://github.com/microsoft/BIPIA,5 task families,"Benchmark for indirect prompt injection across external-content tasks such as email, web, tables, code and summarization; upstream licensing requires review."
InjecAgent,https://github.com/uiuc-kang-lab/InjecAgent,"1,054 test cases","Agent/tool indirect-prompt-injection benchmark spanning 17 user tools and 62 attacker tools, including unauthorized-action and data-stealing scenarios."
AgentDojo,https://github.com/ethz-spylab/agentdojo,97 tasks + 629 security test cases,Executable benchmark environment for evaluating attacks and defenses on tool-using LLM agents; designated as a pristine agent-security benchmark candidate.
HarmBench,https://github.com/centerforaisafety/HarmBench,400+ behaviors / multiple attack artifacts,Standardized red-teaming benchmark covering harmful behaviors and multiple jailbreak attack methods; requires contamination-aware component selection.
JailbreakBench / JBB,https://github.com/JailbreakBench/jailbreakbench,100 harmful benchmark behaviors + benign/judge resources,Standardized jailbreak benchmark with attack artifacts and judge evaluation data; overlaps with AdvBench/HarmBench and requires provenance-controlled use.
XSTest,https://github.com/paul-rottger/xstest,450 prompts (250 safe + 200 unsafe),"Hard-benign and exaggerated-safety benchmark designed to measure over-refusal, false positives and over-defence."
OR-Bench,https://github.com/justincui03/or-bench,80K safe-seeming + Hard-1K + 600 toxic,Large over-refusal benchmark containing safe prompts that appear risky plus toxic controls; useful for false-positive and calibration evaluation.
LLMail-Inject,https://github.com/microsoft/llmail-inject-challenge-analysis,"461,640 raw attempts; 198,044 labelled-unique rows","Human, defense-aware adaptive indirect-prompt-injection competition data for email/RAG/tool workflows; especially valuable for adaptive-adversary stress testing."
Agent Security Bench (ASB),https://github.com/agiresearch/ASB,10 scenarios; 10 agents; 400+ tools; 27 attack/defense types,"Agent security benchmark covering direct/observation injection, memory poisoning, backdoors and other attacks across executable agent scenarios."
AdvBench,https://github.com/llm-attacks/llm-attacks,520 harmful behaviors,Canonical harmful-behavior seed set widely used by later jailbreak-generation methods; important mainly as an attack-generation and provenance source.
GCG / LLM-Attacks,https://github.com/llm-attacks/llm-attacks,Generated artifacts; no single fixed dataset size,Optimization-based adversarial suffix attack method used to generate statistically anomalous jailbreaks; preserve seed/model/config lineage for every artifact.
AutoDAN,https://github.com/SheltonLiu-N/AutoDAN,Generated artifacts; no single fixed dataset size,Evolutionary/fluent jailbreak-generation method useful for comparing optimization attacks with more natural-looking adaptive attack prompts.
SALAD-Bench,https://github.com/OpenSafetyLab/SALAD-BENCH,≈21K base harmful questions,"Hierarchical safety benchmark covering many harmful-risk categories; useful for broad safety/output evaluation, subject to dataset-license qualification."
Do-Not-Answer,https://github.com/libr-ai/do-not-answer,939 instructions,Unsafe-instruction and response-safety dataset with detailed harm taxonomy; valuable for refusal/compliance and downstream output-safety evaluation.
deepset/prompt-injections,https://huggingface.co/datasets/deepset/prompt-injections,662 rows (546 train + 116 test),Small binary prompt-injection classification dataset useful as a lightweight detector baseline; limited scale and provenance compared with newer benchmarks.
WASP,https://github.com/facebookresearch/wasp,Executable benchmark; exact static count not verified,Web-agent security benchmark for prompt injection against agents interacting with websites; useful as an additional agentic stress-test source.
